no,group,status,score,file,note,issues,actions,outline,chars_no_space
15,사회보장정보원,초안/구버전,69,ssis.docx,기관 맞춤성 및 사실성 보완 필요,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","사회보장정보원 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2986
16,IBK기업은행,참고/비자소서,0,기업은행.docx,평가 제외 권장,자기소개서 본문보다 참고 자료 성격이 큼,자소서 개선 대상에서는 제외하고 면접·배경지식 자료로만 활용,이 문서는 본문 개선본을 만들기보다 면접 답변·배경지식·용어 정리 자료로 분리합니다.,3134
17,사회보장정보원,제출 기준본,86,사회보장정보원_자기소개서_최종본.docx,사회보장정보원 제출 기준본,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","사회보장정보원 제출 기준본으로 유지합니다. 외부 사실과 숫자 표현만 마지막으로 검증하고, 문항 끝 문장은 입사 후 반복 가능한 행동으로 닫습니다.",3975
18,지역농협,초안/구버전,73,새로운 자기소개서\2026-06-28_지역농협_NPS_선정개선\국민연금공단_선정개선본.docx,기관 맞춤성 및 사실성 보완 필요,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음",공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화,"지역농협 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2268
19,지역농협,제출 기준본,88,새로운 자기소개서\2026-06-28_지역농협_NPS_선정개선\국민연금공단_선정개선본_교열_patina.docx,국민연금공단 최신 교열본,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음",공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화,"지역농협 제출 기준본으로 유지합니다. 외부 사실과 숫자 표현만 마지막으로 검증하고, 문항 끝 문장은 입사 후 반복 가능한 행동으로 닫습니다.",2129
20,지역농협,초안/구버전,73,새로운 자기소개서\2026-06-28_지역농협_NPS_선정개선\지역농협_강사지침반영_최종후보.docx,기관 맞춤성 및 사실성 보완 필요,허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼,"직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","지역농협 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2246
21,지역농협,초안/구버전,73,새로운 자기소개서\2026-06-28_지역농협_NPS_선정개선\지역농협_선정개선본.docx,기관 맞춤성 및 사실성 보완 필요,허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼,"직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화 / 지역농협_자기소개서_블라인드_최종본과 비교해 문항 제한·블라인드 기준을 우선 적용","지역농협 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2641
22,지역농협,개선본/후보,82,새로운 자기소개서\2026-06-28_지역농협_NPS_선정개선\지역농협_선정개선본_교열_patina.docx,"제출 가능 후보, 중복본과 비교 필요",허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼,"직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화 / 지역농협_자기소개서_블라인드_최종본과 비교해 문항 제한·블라인드 기준을 우선 적용","지역농협 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2437
23,지역농협,초안/구버전,73,새로운 자기소개서\2026-06-28_지역농협_NPS_선정개선\지역농협_선정개선본_농협연계강화.docx,기관 맞춤성 및 사실성 보완 필요,허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼,"직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화 / 지역농협_자기소개서_블라인드_최종본과 비교해 문항 제한·블라인드 기준을 우선 적용","지역농협 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2316
24,SAFFC,초안/구버전,73,새로운 자기소개서\25-11-18_서울특별시농수산식품공사(SAFFC) 정규직 6급_사무직_일반행정_일반.docx,기관 맞춤성 및 사실성 보완 필요,허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼,"직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","SAFFC 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",3621
25,흥국생명,초안/구버전,66,새로운 자기소개서\25-11-23_흥국생명보험 영업기획.docx,기관 맞춤성 및 사실성 보완 필요,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼 / 영문 강조, 굵은 글씨, AI식 표어가 일부 문항의 자연스러움을 낮춤","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화 / 소제목은 한국어 행동 중심으로 정리하고 본문은 한 문장당 한 행동·한 결과만 남김","흥국생명 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2492
26,서울교통공사,초안/구버전,70,새로운 자기소개서\25-11-24_서울교통공사(Seoul Metro) 사무_일반전형.docx,기관 맞춤성 및 사실성 보완 필요,"허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼 / 영문 강조, 굵은 글씨, AI식 표어가 일부 문항의 자연스러움을 낮춤","직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화 / 소제목은 한국어 행동 중심으로 정리하고 본문은 한 문장당 한 행동·한 결과만 남김","서울교통공사 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2307
27,신용보증기금,초안/구버전,74,새로운 자기소개서\25-11-29_신용보증기금 체험형 청년인턴1 (보증).docx,기관 맞춤성 및 사실성 보완 필요,"영문 강조, 굵은 글씨, AI식 표어가 일부 문항의 자연스러움을 낮춤",소제목은 한국어 행동 중심으로 정리하고 본문은 한 문장당 한 행동·한 결과만 남김,"신용보증기금 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2277
28,신용보증기금,초안/구버전,77,새로운 자기소개서\25-11-29_신용보증기금(KODIT) 금융사무(일반)_경영.docx,기관 맞춤성 및 사실성 보완 필요,전반적으로 제출 가능하나 중복 표현과 기관 연결 문장만 마지막 점검 필요,"현행 구조 유지, 소제목과 마지막 직무 적용 문장만 기관명·직무명에 맞춰 미세 조정","신용보증기금 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",1290
29,HUG,초안/구버전,69,새로운 자기소개서\25-11-29_주택도시보증공사(HUG) [일반전형] 금융사업_서울.docx,기관 맞춤성 및 사실성 보완 필요,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","HUG 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2775
30,하나저축은행,초안/구버전,69,새로운 자기소개서\25-11-29_하나저축은행 기업금융.docx,기관 맞춤성 및 사실성 보완 필요,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","하나저축은행 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2130
31,서울교통공사,제출 기준본,86,새로운 자기소개서\26-01-05_서울교통공사(Seoul Metro) 7급_고객안전(일반전형).docx,서울교통공사 고객안전 최신본,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","서울교통공사 제출 기준본으로 유지합니다. 외부 사실과 숫자 표현만 마지막으로 검증하고, 문항 끝 문장은 입사 후 반복 가능한 행동으로 닫습니다.",2603
32,HUG,초안/구버전,66,새로운 자기소개서\HUG2.docx,기관 맞춤성 및 사실성 보완 필요,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼 / 영문 강조, 굵은 글씨, AI식 표어가 일부 문항의 자연스러움을 낮춤","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화 / 소제목은 한국어 행동 중심으로 정리하고 본문은 한 문장당 한 행동·한 결과만 남김","HUG 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2327
33,서울교통공사,초안/구버전,70,새로운 자기소개서\매트로 자소서(11월 24일까지 접수하기).docx,기관 맞춤성 및 사실성 보완 필요,"허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼 / 영문 강조, 굵은 글씨, AI식 표어가 일부 문항의 자연스러움을 낮춤","직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화 / 소제목은 한국어 행동 중심으로 정리하고 본문은 한 문장당 한 행동·한 결과만 남김","서울교통공사 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",3886
34,기타,초안 작성 필요,35,새로운 자기소개서\우리인턴.docx,답변 공란 또는 문항 템플릿 중심,답변 본문이 없거나 문항 안내 중심이라 평가 가능한 서술이 부족함,"기존 검증 경험 4종(데이터 정리, 숙박비 검증, 도서관 개선, 고령 고객 응대)을 문항별로 배치해 초안부터 작성","기타 문항은 아직 답변이 비어 있으므로, 데이터 정리 경험은 업무효율/직무역량, 숙박비 검증 경험은 원칙/윤리, 도서관 개선 경험은 협업/개선, 고령 고객 응대는 고객보호/소통 문항에 배치해 초안을 작성합니다.",398
35,하나은행,초안/구버전,70,새로운 자기소개서\하나은행 자소서.docx,기관 맞춤성 및 사실성 보완 필요,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 영문 강조, 굵은 글씨, AI식 표어가 일부 문항의 자연스러움을 낮춤",공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 소제목은 한국어 행동 중심으로 정리하고 본문은 한 문장당 한 행동·한 결과만 남김,"하나은행 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2493
36,하나저축은행,제출 기준본,83,새로운 자기소개서\하나저축은행 기업금융(수정안).docx,하나저축은행 최신 수정안,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼 / 영문 강조, 굵은 글씨, AI식 표어가 일부 문항의 자연스러움을 낮춤","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화 / 소제목은 한국어 행동 중심으로 정리하고 본문은 한 문장당 한 행동·한 결과만 남김","하나저축은행 제출 기준본으로 유지합니다. 외부 사실과 숫자 표현만 마지막으로 검증하고, 문항 끝 문장은 입사 후 반복 가능한 행동으로 닫습니다.",2079
37,해양박물관,참고/비자소서,0,새로운 자기소개서\해양박물관.docx,평가 제외 권장,자기소개서 본문보다 참고 자료 성격이 큼,자소서 개선 대상에서는 제외하고 면접·배경지식 자료로만 활용,이 문서는 본문 개선본을 만들기보다 면접 답변·배경지식·용어 정리 자료로 분리합니다.,606
38,서울교통공사,초안/구버전,69,서교공 자소서.docx,기관 맞춤성 및 사실성 보완 필요,"최신 기업/기관 사실, 수치, 경영진 인용 등 외부 검증이 필요한 문장이 있음 / 허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼","공식 공고·기관 홈페이지로 확인되지 않은 현재성 표현은 삭제하거나 일반 표현으로 완화 / 직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","서울교통공사 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2167
39,기타,초안/구버전,73,서시서.docx,기관 맞춤성 및 사실성 보완 필요,전반적으로 제출 가능하나 중복 표현과 기관 연결 문장만 마지막 점검 필요,"현행 구조 유지, 소제목과 마지막 직무 적용 문장만 기관명·직무명에 맞춰 미세 조정","기타 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",2783
40,서울교통공사,초안/구버전,58,서울교통공사 자소서.docx,기관 맞춤성 및 사실성 보완 필요,허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼 / 본문 분량이 부족하거나 일부 문항만 작성됨,"직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화 / 문항별 최소 80~90% 분량까지 경험-행동-결과-직무활용을 보강","서울교통공사 개선안은 현행 경험을 유지하되, 도입부의 큰 주장보다 현장 상황을 먼저 제시하고 마지막 문장을 해당 기관의 실제 업무 행동으로 바꾸는 방향입니다.",792
41,지역농협,제출 기준본,90,지역농협_자기소개서_블라인드_최종본.docx,지역농협 제출 기준본,허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼,"직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","지역농협 제출 기준본으로 유지합니다. 외부 사실과 숫자 표현만 마지막으로 검증하고, 문항 끝 문장은 입사 후 반복 가능한 행동으로 닫습니다.",2722
42,한국도로공사서비스,제출 기준본,90,한국도로공사서비스_자기소개서_찐 통합본.docx,한국도로공사서비스 통합본,허위·부정수급·금액·건수 표현은 면접에서 사실 확인 부담이 큼,"직접 확인 가능한 범위만 남기고, 최종 처분·타인의 행동은 보고/추가 검토 요청 수준으로 안전화","한국도로공사서비스 제출 기준본으로 유지합니다. 외부 사실과 숫자 표현만 마지막으로 검증하고, 문항 끝 문장은 입사 후 반복 가능한 행동으로 닫습니다.",2127
